"Year","Method","Weighted starts","All weighted starts","Share of starts within year (%)"
2019,"Injectables",388.928729,668.433502,58.1851041032949
2019,"Implants",170.100715,668.433502,25.4476645008137
2019,"Pill",46.121338,668.433502,6.8999141817401
2019,"Emergency contraception",4.077612,668.433502,0.610025079203765
2019,"Other",59.205108,668.433502,8.85729213494748
2020,"Injectables",1017.611973,1590.545208,63.9788148039864
2020,"Implants",345.566898,1590.545208,21.7263172566171
2020,"Pill",108.772826,1590.545208,6.83871325712108
2020,"Emergency contraception",25.93923,1590.545208,1.63083890162523
2020,"Other",92.654281,1590.545208,5.82531578065023
2021,"Injectables",1092.932659,1833.966092,59.5939403551415
2021,"Implants",457.478602,1833.966092,24.9447688261839
2021,"Pill",156.425071,1833.966092,8.5293327767807
2021,"Emergency contraception",39.585965,1833.966092,2.15848947113467
2021,"Other",87.543795,1833.966092,4.77346857075916
2022,"Injectables",1007.451559,1804.233656,55.8381978769606
2022,"Implants",478.318277,1804.233656,26.5108831890674
2022,"Pill",183.932794,1804.233656,10.1945107491111
2022,"Emergency contraception",41.174916,1804.233656,2.28212769798814
2022,"Other",93.35611,1804.233656,5.17428048687282
2023,"Injectables",1093.596582,1930.644374,56.64412341949
2023,"Implants",463.901189,1930.644374,24.028308643858
2023,"Pill",218.061427,1930.644374,11.2947485273122
2023,"Emergency contraception",29.87154,1930.644374,1.5472316083832
2023,"Other",125.213636,1930.644374,6.48558780095666
2024,"Injectables",933.260633,1578.233978,59.1332239711798
2024,"Implants",315.669661,1578.233978,20.0014487965865
2024,"Pill",177.190845,1578.233978,11.2271594370654
2024,"Emergency contraception",51.117826,1578.233978,3.23892570509593
2024,"Other",100.995013,1578.233978,6.3992420900724
