"Duration","Method","Method failure","Desire to become pregnant","Other fertility-related reasons","Changes in menstrual bleeding","Other side effects/health concerns","Wanted more effective method","Other method-related reasons","Husband/partner disapproved","Other reasons","Any reason","Switched to another method","Weighted episodes","Unweighted episodes entering month 1","Unweighted at risk at horizon"
"3 months","Injectables",0.358283822544786,5.81795000564435,2.02488532546545,1.41651131552335,1.5196486761894,1.97712010469334,1.54163004134366,0.365010990401508,0.894568317368548,15.9156085991744,1.82487025930671,6262.577696,4272,3915
"3 months","Implants",0,2.4123922254464,0.0507867852303347,0.00844125492252997,0.438014327576519,0.176886322263534,0.664912787454396,0.0134381555664303,0.67061014443737,4.43548200289751,0.202310068019369,2566.74974,2220,2123
"3 months","Pill",1.52383410995837,5.82444730847969,11.1781461930124,1.39618032181453,0.973039908558249,9.14483111766209,3.32466165340005,2.18367837796043,0.476139537030836,36.0249585278766,11.3484765813336,943.74873,785,551
"3 months","Emergency contraception",0,4.94882114838365,47.5296086817498,3.18821564680435,6.05773888772175,6.02070586400422,3.14683422447366,0,0.312763781902118,71.2046882350396,3.08549470271888,195.643219,160,62
"3 months","Other",0.705773211040834,2.70592950908629,4.61299930276484,0,0.86578918533795,1.59993744898299,0.606670100938948,0,0.957132122945749,12.0542308810976,4.65343784041251,608.918992,623,544
"3 months","All methods",0.395800063954373,4.7998438569377,3.49288901297727,1.02963582475154,1.26457622111582,2.27530424564432,1.47585334839555,0.424444022362959,0.794286584744063,15.9526331808836,2.52637163764021,10577.638377,8060,7195
"6 months","Injectables",0.477015281661538,9.87081208329939,2.65253066552689,2.08983303882819,2.31461214602624,2.98986059356453,2.61055934908053,0.381913330768948,1.4994819254021,24.8866184141584,2.9563312699556,6262.577696,4272,3176
"6 months","Implants",0,3.05280390980411,0.22540325095013,0.131305274097261,1.05043270656838,1.41287255281708,0.962002400496399,0.0453135933349859,0.73314610342779,7.61327979149614,1.19801976506179,2566.74974,2220,1994
"6 months","Pill",1.66865014202316,10.8903290680934,14.7986434124966,2.22172203179339,1.07670593189841,11.2573856725736,4.85484640241278,2.18367837796043,0.944078203769209,49.896039243021,13.6928075366857,943.74873,785,392
"6 months","Emergency contraception",0,5.77420631628683,51.2527576365406,3.62564292398352,6.05773888772175,6.02070586400422,3.47219925256761,0,0.732674064756332,76.9359249458609,3.08549470271888,195.643219,160,44
"6 months","Other",1.2187914250951,3.87903600452355,5.03889781439353,1.15423061774833,1.13945983172849,4.1683491230701,0.732416477627981,0,1.80019915096167,19.1313804451488,7.49719813058732,608.918992,623,479
"6 months","All methods",0.509549819545472,7.87554947208241,4.31528255850809,1.60289204057414,1.90569096133328,3.51277653917025,2.32764004963455,0.442091760029226,1.26460756223605,23.7560807631135,3.81173800097401,10577.638377,8060,6085
"9 months","Injectables",0.525919909461376,14.0769292907736,3.47195814467493,2.66443655818507,2.99380888586942,3.95095870832573,3.82019877231645,0.38394685344738,1.82612244135006,33.714279564404,3.68695013102721,6262.577696,4272,2704
"9 months","Implants",0,4.08776239324116,0.398001133977184,0.196655404840073,1.34455629140718,1.83918545643783,1.18648326581779,0.0453135933349859,0.772158659827183,9.87011619888339,1.50840561565409,2566.74974,2220,1921
"9 months","Pill",2.04282269862726,12.6470941796141,15.0768717845734,2.28740778371559,1.67852960948952,12.777995195808,5.72076859907862,2.18367837796043,1.06613705144067,55.4813052803076,15.7540859824685,943.74873,785,314
"9 months","Emergency contraception",0,5.77420631628683,51.2527576365406,4.3744385185717,7.37340837947284,6.08002738231758,4.0043155212094,0,0.732674064756332,79.5918278191553,3.08549470271888,195.643219,160,36
"9 months","Other",1.42171099916203,4.55059504157572,5.20285039902086,2.05115430684938,1.18115488022835,4.81702054787286,1.25502888778038,0,1.85123821154296,22.3307532740325,9.22624621167743,608.918992,623,423
"9 months","All methods",0.58124250799295,10.8159450779866,4.87726275186253,2.02813586320803,2.45350587760937,4.35529310120038,3.21133266003678,0.443306534162462,1.48185553266786,30.2478799067269,4.59630199631128,10577.638377,8060,5398
"12 months","Injectables",0.700608387437774,18.1405958314354,4.17255747042657,3.43796424156508,3.68278106738013,5.57715853319236,4.92910849938108,0.557908268682389,2.15076109374052,43.3494433932413,5.10927720851996,6262.577696,4272,2224
"12 months","Implants",0.200018043963219,5.61138091980165,0.636539417387387,0.68949549743452,2.2967993623164,2.84668717134372,2.19590084795901,0.0453135933349859,0.829088015828396,15.3512228693693,2.79952767266965,2566.74974,2220,1762
"12 months","Pill",2.14011188449344,17.878091256796,16.1034256465462,2.45634144988909,2.10268428906899,14.3643667748063,6.48581899240264,2.18367837796043,1.25863407674034,64.9731527487035,16.3135471154799,943.74873,785,215
"12 months","Emergency contraception",0.954957287192107,5.86815825449948,51.7208556930758,5.2054890460455,7.37340837947284,6.16826915896218,4.24618728100059,0,5.30756170524779,86.8448868054963,7.66038234321034,195.643219,160,22
"12 months","Other",1.59822196292444,8.82192219760185,5.59921343094403,3.44155511716579,1.18115488022835,6.51222831821506,1.44929672854207,0,1.90707818627599,30.5106708218976,10.7438803252663,608.918992,623,372
"12 months","All methods",0.764002473375237,14.271846863852,5.46193304223517,2.71182535573802,3.13131876460864,5.79389968305563,4.19679541829719,0.547165957279635,1.76662011749688,38.6454076759384,5.94844149583776,10577.638377,8060,4595
