"method_code","method","unweighted_episodes","unweighted_women","weighted_episodes","unweighted_entering_month_1","unweighted_women_entering_month_1","unweighted_at_risk_month_12","unweighted_women_at_risk_month_12","weighted_at_risk_month_12","unweighted_discontinuations_by_month_12","weighted_discontinuations_by_month_12"
1,"Pill",850,716,943.74873,785,667,215,206,243.093189,492,529.252363
2,"IUD",170,155,174.179704,150,138,104,102,117.001973,37,35.011126
3,"Injectables",4884,3928,6262.577696,4272,3565,2224,2068,2906.845886,1861,2266.402893
4,"Diaphragm",0,0,0,0,0,0,0,0,0,0
5,"Male condom",75,56,62.457702,71,52,25,25,15.783437,36,24.305533
6,"Female sterilization",13,13,13.083474,12,12,13,13,13.083474,0,0
7,"Male sterilization",2,2,7.011432,2,2,1,1,3.505716,1,3.505716
8,"Rhythm method",178,163,196.212475,161,151,108,103,119.256709,45,53.584858
9,"Withdrawal",40,32,41.452726,39,32,19,16,23.135658,12,7.660676
10,"Other traditional method",1,1,0.216892,1,1,1,1,0.216892,0,0
11,"Implants",2555,2306,2566.74974,2220,2064,1762,1686,1764.074077,340,328.0507
13,"Lactational amenorrhea method (LAM)",183,134,97.781462,173,131,90,77,35.972781,55,27.942835
14,"Female condom",0,0,0,0,0,0,0,0,0,0
15,"Foam/jelly",0,0,0,0,0,0,0,0,0,0
16,"Emergency contraception",168,139,195.643219,160,132,22,21,15.364272,119,154.979788
17,"Other modern method",0,0,0,0,0,0,0,0,0,0
18,"Standard days method",16,14,16.523125,14,12,11,11,8.499864,2,5.423114
