"Method","Month","All-cause monthly hazard (%)","Weighted risk set","Unweighted risk set","Weighted discontinuations"
"Injectables",1,2.11250577178713,5533.782135,4272,116.901467
"Injectables",2,3.65437330375186,5299.514661,4118,193.664049
"Injectables",3,10.8428519756733,5037.640431,3915,546.223895
"Injectables",4,1.06993876092842,4450.608459,3470,47.618785
"Injectables",5,4.77323622069595,4332.782612,3404,206.813949
"Injectables",6,5.1767959649838,4092.32756,3176,211.851448
"Injectables",7,1.32238712543002,3875.459615,2986,51.248579
"Injectables",8,7.02569929663486,3815.242977,2934,268.047499
"Injectables",9,3.81195205579501,3574.572319,2704,136.260983
"Injectables",10,1.01738791949676,3428.128478,2572,34.877365
"Injectables",11,11.7146562895926,3320.029247,2523,388.930015
"Injectables",12,2.20049020514189,2906.845886,2224,63.964859
"Implants",1,1.68782911194241,2231.035342,2220,37.656064
"Implants",2,1.76825645806275,2195.360793,2187,38.819609
"Implants",3,1.04504741721052,2112.275351,2123,22.074279
"Implants",4,0.443986067464304,2071.200579,2068,9.195842
"Implants",5,1.87828165062238,2035.695072,2030,38.236087
"Implants",6,1.0353185692111,1991.632973,1994,20.619746
"Implants",7,0.840663363752113,1973.570482,1963,16.591084
"Implants",8,1.24366762171073,1934.32261,1935,24.056544
"Implants",9,0.376752172582655,1913.338137,1921,7.208543
"Implants",10,0.706272753940173,1889.19478,1899,13.342868
"Implants",11,4.18269112926805,1855.109273,1880,77.593491
"Implants",12,1.28433058993361,1764.074077,1762,22.656543
"Pill",1,18.6172640394693,890.504301,785,165.787537
"Pill",2,12.6749456228744,708.290013,653,89.775374
"Pill",3,9.97991363083291,588.652429,551,58.747004
"Pill",4,4.06145030320367,517.556893,490,21.020316
"Pill",5,11.4016374535356,493.287646,457,56.242869
"Pill",6,7.86118169370817,409.512733,392,32.19254
"Pill",7,5.16985948312071,374.001403,352,19.335347
"Pill",8,1.78240062107016,348.729681,327,6.21576
"Pill",9,4.60301375163425,342.139408,314,15.748724
"Pill",10,1.12852968019369,314.840634,280,3.55307
"Pill",11,14.3403389988228,302.446832,265,43.371901
"Pill",12,7.10094802368157,243.093189,215,17.261921
"Emergency contraception",1,57.1397206743854,191.767089,160,109.575179
"Emergency contraception",2,27.9914375037643,80.626488,85,22.568513
"Emergency contraception",3,6.69978453427901,47.382479,62,3.174524
"Emergency contraception",4,6.43200309730235,43.836857,56,2.819588
"Emergency contraception",5,5.4895823334703,40.088824,50,2.200709
"Emergency contraception",6,9.42522934792286,36.324506,44,3.423668
"Emergency contraception",7,0.257203109919274,29.588678,39,0.076103
"Emergency contraception",8,3.14766310054006,29.003644,38,0.912937
"Emergency contraception",9,8.40401846232976,27.164719,36,2.282928
"Emergency contraception",10,1.97695574737859,24.063614,32,0.475727
"Emergency contraception",11,30.0856519799458,21.794359,28,6.556975
"Emergency contraception",12,5.94194765622478,15.364272,22,0.912937
"Other",1,6.08186362486981,558.967943,623,33.995668
"Other",2,3.51508837361659,515.801285,579,18.130871
"Other",3,2.94764420447023,491.315369,544,14.482229
"Other",4,2.1154661524893,466.903996,520,9.877196
"Other",5,3.26276845342639,459.0787,502,14.978675
"Other",6,2.89147738154048,424.20484,479,12.265787
"Other",7,1.97606553583253,408.587714,467,8.073961
"Other",8,1.3271126851793,387.005117,450,5.135994
"Other",9,0.702321108627258,363.540547,423,2.553222
"Other",10,0.24280469003385,366.891595,412,0.89083
"Other",11,5.92843868484322,360.36677,403,21.364123
"Other",12,4.66191077108737,336.456504,372,15.685302
"All methods",1,4.93209773628828,9406.05681,8060,463.915915
"All methods",2,4.12471811026574,8799.59324,7622,362.958416
"All methods",3,7.78882696780062,8277.266059,7195,644.701931
"All methods",4,1.19907876259251,7550.106784,6604,90.531727
"All methods",5,4.32652077279769,7360.932854,6443,318.472289
"All methods",6,4.03153701029987,6954.002612,6085,280.353189
"All methods",7,1.43104787518318,6661.207892,5807,95.325074
"All methods",8,4.6723139209504,6514.304029,5684,304.368734
"All methods",9,2.63721037995591,6220.75513,5398,164.0544
"All methods",10,0.882264805143524,6023.119101,5195,53.13986
"All methods",11,9.1781531290449,5859.746481,5099,537.816505
"All methods",12,2.28798635975517,5265.833928,4595,120.481562
