"Method","Month","Reason","Cause-specific monthly hazard (%)","Weighted risk set","Weighted cause-specific discontinuations"
"Injectables",1,"Method failure",0.224932545162442,5533.782135,12.447277
"Injectables",1,"Desire to become pregnant",0.607991210698431,5533.782135,33.644909
"Injectables",1,"Other fertility-related reasons",0.189702697791517,5533.782135,10.497734
"Injectables",1,"Changes in menstrual bleeding",0.135528067730841,5533.782135,7.499828
"Injectables",1,"Other side effects/health concerns",0.448101179176617,5533.782135,24.796943
"Injectables",1,"Wanted more effective method",0.0976543685343333,5533.782135,5.40398
"Injectables",1,"Other method-related reasons",0.164408189156149,5533.782135,9.097991
"Injectables",1,"Husband/partner disapproved",0.0403985546496402,5533.782135,2.235568
"Injectables",1,"Other reasons",0.203788958887157,5533.782135,11.277237
"Injectables",2,"Method failure",0.0527465471615949,5299.514661,2.795311
"Injectables",2,"Desire to become pregnant",1.49911782648053,5299.514661,79.445969
"Injectables",2,"Other fertility-related reasons",0.431390994504506,5299.514661,22.861629
"Injectables",2,"Changes in menstrual bleeding",0.356782747279581,5299.514661,18.907754
"Injectables",2,"Other side effects/health concerns",0.240343556245518,5299.514661,12.737042
"Injectables",2,"Wanted more effective method",0.484172714698336,5299.514661,25.658804
"Injectables",2,"Other method-related reasons",0.41568623561168,5299.514661,22.029353
"Injectables",2,"Husband/partner disapproved",0.00261516400775177,5299.514661,0.138591
"Injectables",2,"Other reasons",0.171517517762369,5299.514661,9.089596
"Injectables",3,"Method failure",0.0866490584190724,5037.640431,4.365068
"Injectables",3,"Desire to become pregnant",3.96829310742047,5037.640431,199.908338
"Injectables",3,"Other fertility-related reasons",1.49814441966869,5037.640431,75.471129
"Injectables",3,"Changes in menstrual bleeding",0.987948677196886,5037.640431,49.769302
"Injectables",3,"Other side effects/health concerns",0.886733513672643,5037.640431,44.670446
"Injectables",3,"Wanted more effective method",1.49031537737394,5037.640431,75.07673
"Injectables",3,"Other method-related reasons",1.02885560630836,5037.640431,51.830046
"Injectables",3,"Husband/partner disapproved",0.34148173605525,5037.640431,17.202622
"Injectables",3,"Other reasons",0.55443047955798,5037.640431,27.930214
"Injectables",4,"Method failure",0.0218182302250462,4450.608459,0.971044
"Injectables",4,"Desire to become pregnant",0.504004277317175,4450.608459,22.431257
"Injectables",4,"Other fertility-related reasons",0.0840577650104179,4450.608459,3.741082
"Injectables",4,"Changes in menstrual bleeding",0.223125940901826,4450.608459,9.930462
"Injectables",4,"Other side effects/health concerns",0.0189416572535212,4450.608459,0.843019
"Injectables",4,"Wanted more effective method",0.19181894068296,4450.608459,8.53711
