"Discontinued method","Month","Injectables","Implants","Pill","Emergency contraception","Other modern","Traditional method"
"Injectables",1,0,52.0304483761103,38.6442595776772,1.43840021178779,3.88655382013284,4.00033801429185
"Injectables",3,27.9952545561784,37.0483690759732,27.4406685993632,1.16945689839466,2.99538854318171,3.35086232690881
"Injectables",6,33.6079391244551,33.4683488376705,26.3248545626778,1.10235733581258,2.59431180426575,2.90218833511828
"Injectables",9,36.6538091482741,31.6472553119912,25.5694136634668,1.0239535299444,2.4097945769973,2.69577376932617
"Injectables",12,42.0228746112489,29.0884859595881,23.3096905592421,0.906794989763032,2.28482469375198,2.38732918640586
"Implants",1,74.9287494275438,0,16.4917738622088,0.183844554177355,1.64757674101302,6.748055415057
"Implants",3,66.9523939375422,13.214453806247,12.5627450847906,0.123221054338212,2.60190538605677,4.54528073102517
"Implants",6,63.2518397744287,18.7667626079895,10.6936989013165,1.20384874463173,2.21480198638198,3.86904798525162
"Implants",9,63.3103646161508,19.5403971190104,10.1154903983264,1.11836954499854,2.32105182980243,3.59432649171143
"Implants",12,63.6702487325751,19.4411914027805,10.016339163838,1.09268664219283,2.26774981633252,3.51178424228103
"Pill",1,53.1584019267228,28.1468677886944,0,1.25340254507557,15.5460266603063,1.89530107920084
"Pill",3,41.510612421296,25.66840678028,16.3987919965861,3.27878154873046,11.7876882043362,1.35571904877122
"Pill",6,41.6471413943228,21.9496146700154,22.8668747428528,3.1941329578301,9.28853970633087,1.05369652864796
"Pill",9,40.6434696403119,21.5272833058912,22.2056091727887,5.61444245731217,8.98943004289406,1.01976538080202
"Pill",12,39.7294498400853,21.4792010863469,23.4692349480536,5.47624317418834,8.85120705578315,0.994663895542731
"Emergency contraception",1,68.4277745704736,0,25.0279950667505,0,1.43471837893407,5.10951198384182
"Emergency contraception",3,46.3969219561734,3.80683244950943,14.3607312574441,31.6805218464245,0.823222356207024,2.93177013424149
"Emergency contraception",6,23.5432997921614,3.00726220321554,18.0494788671323,51.6179438380217,0.417729666336468,3.3642856331326
"Emergency contraception",9,18.7738964286232,2.61703508375656,14.3930141413306,56.6845800385476,3.88456448768514,3.64690982005685
"Emergency contraception",12,15.3646861033092,2.14179953192678,21.7553266815227,54.5743772524366,3.17915432357168,2.98465610723296
"Other",1,62.3877629943245,18.4821362138213,8.59911062063079,1.04158168794274,2.12162583117147,7.36778265210917
"Other",3,58.7675733627303,16.6344008209816,6.9560125786895,0.842558683415428,6.38115021404952,10.4183043401337
"Other",6,53.6869460021496,16.6456322199168,11.7969945483622,0.767377767126913,7.49021663160036,9.61283283084406
"Other",9,50.331104820883,15.5864659112677,11.0463484326808,2.66634274091786,10.5078566984891,9.86188139576153
"Other",12,49.7131766828474,15.3730276417126,11.0060205578184,3.00336838027463,11.177572177196,9.72683456015091
"All methods",1,31.5655618106571,33.1566440178507,24.4377775998095,1.08467960264688,5.214137082139,4.54119988689681
"All methods",3,40.5927521239701,28.3937116185281,20.9918429502312,1.74502720810645,4.48777469567587,3.7888914034883
"All methods",6,42.0570549982649,26.6398801263356,21.3475592490048,2.81300811070348,3.89625352603828,3.24624398965298
"All methods",9,43.0970497169846,25.6121859326176,20.5401019577078,3.63987788783736,4.00432166254271,3.10646284230995
"All methods",12,45.4046227243617,24.298174445,19.933525693443,3.6798316345437,3.8257845327005,2.85806096995114
