"Discontinued method","Higher-effectiveness method","Different method, same tier","Same method restarted","Lower-effectiveness method","Pregnancy before reinitiation","No observed event","Month"
"Injectables",11.3119816614762,8.68461192980901,0,0.833264741197442,4.84234826247837,74.327793405039,1
"Injectables",13.4969084465717,10.2454357300718,9.68150582034292,1.15881757945922,7.10114020281114,58.3161922207432,3
"Injectables",14.0482034137939,11.3027290281812,13.4193464275042,1.15881757945922,9.80497438908183,50.2659291619796,6
"Injectables",14.2886273041156,11.782836969456,15.7561731917068,1.15881757945922,12.1636879095662,44.8498570456963,9
"Injectables",14.8774188877365,12.1060542941985,20.3980440218381,1.15881757945922,15.474355346397,35.9853098703707,12
"Implants",0,0.271134864277856,0,26.8697104323001,3.19730824466638,69.6618464587557,1
"Implants",0,0.279490246963037,5.35104293895803,34.863330710507,8.28690296460242,51.2192331389696,3
"Implants",0,0.279490246963037,8.92760928048221,38.3642875411027,12.083568200813,40.345044730639,6
"Implants",0,0.41442764350941,10.0061219697513,40.78681280015,14.194152325785,34.5984852608043,9
"Implants",0,0.41442764350941,10.1893148194688,41.8072163531133,17.5820066239268,30.0070345599817,12
"Pill",10.6136999583426,19.1475180903949,0,0.574961946844575,1.97685147288725,67.6869685315307,1
"Pill",12.9610151655711,21.9193875929544,6.95474580872946,0.574961946844575,2.2947062384172,55.2951832474833,3
"Pill",14.1213115042296,27.3923266897664,12.4775800839658,0.574961946844575,3.22397225568535,42.2098475195083,6
"Pill",14.281712266128,29.0051936692486,12.5199193081208,0.574961946844575,5.12175145663084,38.4964613530271,9
"Pill",14.5602214240558,29.1031546897792,13.5663082546319,0.574961946844575,8.42923525167051,33.766118433018,12
"Emergency contraception",0,7.04376032776314,0,0.379281196234199,2.89172170236157,89.6852367736411,1
"Emergency contraception",0.492487439055879,7.96667783687454,4.09848851480448,0.379281196234199,4.61722541802756,82.4458395950033,3
"Emergency contraception",0.766698349754788,10.710535107707,13.1599407314833,0.857721099366883,4.61722541802756,69.8878792936604,6
"Emergency contraception",0.836711412281897,11.8459978679783,18.1230413428692,1.16598019069137,4.61722541802756,63.4110437681516,9
"Emergency contraception",0.836711412281897,15.7431974946427,21.3199244768778,1.16598019069137,4.61722541802756,56.3169610074786,12
"Other",16.7115627738257,19.2980284821383,0,5.21264634374061,3.24297807300397,55.5347843272914,1
"Other",17.7574128394131,19.9923322470654,4.34728284447339,8.86242292394701,4.57938742752422,44.4611617175769,3
"Other",18.5941791847462,20.1068960374812,5.19287184710433,12.0580620442915,7.44603182461995,36.6019590617569,6
"Other",18.6697763113956,21.3068006365185,7.71954588670996,12.0580620442915,12.82198677049,27.4238283505945,9
"Other",18.7369872859738,21.5762986496977,8.21246071258749,12.0580620442915,14.3019514222705,25.114239885179,12
"All methods",8.89067047088093,9.00059046529305,0,5.83128774287803,3.9831018167753,72.2943495041727,1
"All methods",10.5570207741218,10.3621162267489,7.98591646612367,7.6920408550425,6.43507059292922,56.9678350850338,3
"All methods",11.0845165005628,11.8402947022051,12.0452920897599,8.5195469157753,8.99133374213954,47.5190160495574,6
"All methods",11.2528457972336,12.4655606733151,13.9624871033632,8.99293335523707,11.2647031239217,42.0614699469294,9
"All methods",11.635580189031,12.872329862106,17.0311802144458,9.19128623379789,14.338878001895,34.9307454987243,12
