"Reason","Discontinued method","Month","Reinitiated (%)","Pregnancy before reinitiation (%)","No observed event (%)","Eligible episodes (unweighted)","Eligible episodes (weighted)"
"Method failure","All methods",1,0.119504830192214,91.1712667387846,8.7092284310232,124,130.482592
"Method failure","All methods",3,0.470404511890751,96.863652892487,2.66594259562226,124,130.482592
"Method failure","All methods",6,0.98169647028471,96.863652892487,2.1546506372283,124,130.482592
"Method failure","All methods",12,0.98169647028471,97.6583435742907,1.35995995542455,124,130.482592
"Desire to become pregnant","All methods",1,1.00352209855635,12.7570632129973,86.2394146884463,2251,2714.428017
"Desire to become pregnant","All methods",3,5.03049416469385,32.5483982432679,62.4211075920382,2251,2714.428017
"Desire to become pregnant","All methods",6,6.56892944639163,49.576875249194,43.8541953044143,2251,2714.428017
"Desire to become pregnant","All methods",12,8.3581110899593,67.0173628919099,24.6245260181308,2251,2714.428017
"Other fertility-related reasons","All methods",1,2.39458969343815,0.565204521219904,97.0402057853419,540,668.804098
"Other fertility-related reasons","All methods",3,12.532226738838,1.18815539913154,86.2796178620305,540,668.804098
"Other fertility-related reasons","All methods",6,21.0981875828941,1.9912215397668,76.9105908773391,540,668.804098
"Other fertility-related reasons","All methods",12,30.8350035612244,3.62605452378962,65.538941914986,540,668.804098
"Changes in menstrual bleeding","All methods",1,16.2059397084632,2.22968665159049,81.5643736399463,321,365.595856
"Changes in menstrual bleeding","All methods",3,33.8292444977823,5.98608125361246,60.1846742486053,321,365.595856
"Changes in menstrual bleeding","All methods",6,41.7716926526813,7.99101720140935,50.2372901459094,321,365.595856
"Changes in menstrual bleeding","All methods",12,52.4068451610667,17.0031914335742,30.5899634053591,321,365.595856
"Other side effects/health concerns","All methods",1,16.5983659050941,8.14987325942073,75.2517608354852,414,434.206237
"Other side effects/health concerns","All methods",3,26.1794060779463,11.2154208876553,62.6051730343984,414,434.206237
"Other side effects/health concerns","All methods",6,28.9905502101466,16.0013577635633,55.0080920262901,414,434.206237
"Other side effects/health concerns","All methods",12,38.0511317808683,24.4832813036879,37.4655869154438,414,434.206237
"Wanted more effective method","All methods",1,49.6909868479898,3.91760845516047,46.3914046968497,731,863.263095
"Wanted more effective method","All methods",3,62.5564067464276,5.49672692772764,31.9468663258447,731,863.263095
"Wanted more effective method","All methods",6,70.5426874160949,6.61883471705633,22.8384778668487,731,863.263095
"Wanted more effective method","All methods",12,75.0469134610059,8.62257130603175,16.3305152329623,731,863.263095
"Other method-related reasons","All methods",1,26.0617565233077,4.98327508089171,68.9549683958005,595,582.901175
"Other method-related reasons","All methods",3,37.9777421104015,9.15658336080726,52.8656745287913,595,582.901175
"Other method-related reasons","All methods",6,41.5433986317839,14.5823283888163,43.8742729793998,595,582.901175
"Other method-related reasons","All methods",12,46.2494634485013,26.1522661587425,27.5982703927562,595,582.901175
"Husband/partner disapproved","All methods",1,32.7407041823308,14.1809685811376,53.0783272365316,41,57.802984
"Husband/partner disapproved","All methods",3,38.1530043500868,14.9730782064815,46.8739174434316,41,57.802984
"Husband/partner disapproved","All methods",6,40.1776376801613,16.2948974602407,43.5274648595979,41,57.802984
"Husband/partner disapproved","All methods",12,48.9883779086619,23.5094040819952,27.5022180093429,41,57.802984
"Other reasons","All methods",1,8.10707069869695,3.98970849397517,87.9032208073279,290,268.756778
"Other reasons","All methods",3,30.3668806447739,7.65472824651887,61.9783911087072,290,268.756778
"Other reasons","All methods",6,42.4051519981914,10.2814090911118,47.3134389106969,290,268.756778
"Other reasons","All methods",12,50.1717895508268,12.9685999155638,36.8596105336094,290,268.756778
