"Duration","Method","Leading reason","Leading cumulative incidence (%)","Second reason","Second cumulative incidence (%)","Third reason","Third cumulative incidence (%)"
"3 months","Injectables","Desire to become pregnant",5.81795000564435,"Other fertility-related reasons",2.02488532546545,"Wanted more effective method",1.97712010469334
"3 months","Implants","Desire to become pregnant",2.4123922254464,"Other reasons",0.67061014443737,"Other method-related reasons",0.664912787454396
"3 months","Pill","Other fertility-related reasons",11.1781461930124,"Wanted more effective method",9.14483111766209,"Desire to become pregnant",5.82444730847969
"3 months","Emergency contraception","Other fertility-related reasons",47.5296086817498,"Other side effects/health concerns",6.05773888772175,"Wanted more effective method",6.02070586400422
"3 months","Other","Other fertility-related reasons",4.61299930276484,"Desire to become pregnant",2.70592950908629,"Wanted more effective method",1.59993744898299
"3 months","All methods","Desire to become pregnant",4.7998438569377,"Other fertility-related reasons",3.49288901297727,"Wanted more effective method",2.27530424564432
"6 months","Injectables","Desire to become pregnant",9.87081208329939,"Wanted more effective method",2.98986059356453,"Other fertility-related reasons",2.65253066552689
"6 months","Implants","Desire to become pregnant",3.05280390980411,"Wanted more effective method",1.41287255281708,"Other side effects/health concerns",1.05043270656838
"6 months","Pill","Other fertility-related reasons",14.7986434124966,"Wanted more effective method",11.2573856725736,"Desire to become pregnant",10.8903290680934
"6 months","Emergency contraception","Other fertility-related reasons",51.2527576365406,"Other side effects/health concerns",6.05773888772175,"Wanted more effective method",6.02070586400422
"6 months","Other","Other fertility-related reasons",5.03889781439353,"Wanted more effective method",4.1683491230701,"Desire to become pregnant",3.87903600452355
"6 months","All methods","Desire to become pregnant",7.87554947208241,"Other fertility-related reasons",4.31528255850809,"Wanted more effective method",3.51277653917025
"9 months","Injectables","Desire to become pregnant",14.0769292907736,"Wanted more effective method",3.95095870832573,"Other method-related reasons",3.82019877231645
"9 months","Implants","Desire to become pregnant",4.08776239324116,"Wanted more effective method",1.83918545643783,"Other side effects/health concerns",1.34455629140718
"9 months","Pill","Other fertility-related reasons",15.0768717845734,"Wanted more effective method",12.777995195808,"Desire to become pregnant",12.6470941796141
"9 months","Emergency contraception","Other fertility-related reasons",51.2527576365406,"Other side effects/health concerns",7.37340837947284,"Wanted more effective method",6.08002738231758
"9 months","Other","Other fertility-related reasons",5.20285039902086,"Wanted more effective method",4.81702054787286,"Desire to become pregnant",4.55059504157572
"9 months","All methods","Desire to become pregnant",10.8159450779866,"Other fertility-related reasons",4.87726275186253,"Wanted more effective method",4.35529310120038
"12 months","Injectables","Desire to become pregnant",18.1405958314354,"Wanted more effective method",5.57715853319236,"Other method-related reasons",4.92910849938108
"12 months","Implants","Desire to become pregnant",5.61138091980165,"Wanted more effective method",2.84668717134372,"Other side effects/health concerns",2.2967993623164
"12 months","Pill","Desire to become pregnant",17.878091256796,"Other fertility-related reasons",16.1034256465462,"Wanted more effective method",14.3643667748063
"12 months","Emergency contraception","Other fertility-related reasons",51.7208556930758,"Other side effects/health concerns",7.37340837947284,"Wanted more effective method",6.16826915896218
"12 months","Other","Desire to become pregnant",8.82192219760185,"Wanted more effective method",6.51222831821506,"Other fertility-related reasons",5.59921343094403
"12 months","All methods","Desire to become pregnant",14.271846863852,"Wanted more effective method",5.79389968305563,"Other fertility-related reasons",5.46193304223517
