"Reason","Discontinued method","Month","Reinitiated (%)","Pregnancy before reinitiation (%)","No observed event (%)","Eligible episodes (unweighted)","Eligible episodes (weighted)"
"Method failure","Injectables",1,0.221123904969913,84.5738150940559,15.2050610009742,59,70.518382
"Method failure","Injectables",3,0.8704056766362,95.1066333314341,4.02296099192974,59,70.518382
"Method failure","Injectables",6,1.81646680435748,95.1066333314341,3.07689986420846,59,70.518382
"Method failure","Injectables",12,1.81646680435748,95.6671524312625,2.51638076437999,59,70.518382
"Desire to become pregnant","Injectables",1,0.829897948339884,11.0718744847138,88.0982275669463,1354,1829.675086
"Desire to become pregnant","Injectables",3,4.23581206264509,32.0757781799954,63.6884097573595,1354,1829.675086
"Desire to become pregnant","Injectables",6,5.85361734373019,49.182929818466,44.9634528378038,1354,1829.675086
"Desire to become pregnant","Injectables",12,8.00082124656532,66.4088406878989,25.5903380655357,1354,1829.675086
"Other fertility-related reasons","Injectables",1,1.61574082292824,0.849383449603448,97.5348757274683,266,338.712863
"Other fertility-related reasons","Injectables",3,12.194832116547,1.22872422474254,86.5764436587104,266,338.712863
"Other fertility-related reasons","Injectables",6,17.1257479729885,2.29034761852273,80.5839044084888,266,338.712863
"Other fertility-related reasons","Injectables",12,26.7606159615396,3.34562647567688,69.8937575627835,266,338.712863
"Changes in menstrual bleeding","Injectables",1,16.474011920691,2.44505576278034,81.0809323165287,217,261.614197
"Changes in menstrual bleeding","Injectables",3,31.9865729610997,5.36235653908339,62.651070499817,217,261.614197
"Changes in menstrual bleeding","Injectables",6,37.6959433617483,7.59431340566845,54.7097432325833,217,261.614197
"Changes in menstrual bleeding","Injectables",12,52.5052158708932,18.5152497465748,28.979534382532,217,261.614197
"Other side effects/health concerns","Injectables",1,9.03679401537205,8.89028907899822,82.0729169056297,205,250.343783
"Other side effects/health concerns","Injectables",3,16.0168395314215,12.0736359568394,71.9095245117391,205,250.343783
"Other side effects/health concerns","Injectables",6,19.8484774511023,16.8647434118202,63.2867791370775,205,250.343783
"Other side effects/health concerns","Injectables",12,31.859527999291,28.6645396096258,39.4759323910831,205,250.343783
"Wanted more effective method","Injectables",1,46.8609946718249,4.97105307967958,48.1679522484955,352,473.061032
"Wanted more effective method","Injectables",3,60.5284250088052,5.87354994820203,33.5980250429928,352,473.061032
"Wanted more effective method","Injectables",6,67.8399794216484,6.35618671220936,25.8038338661423,352,473.061032
"Wanted more effective method","Injectables",12,74.4428202516809,7.2225451297943,18.3346346185248,352,473.061032
"Other method-related reasons","Injectables",1,24.5858943410019,5.13165113262861,70.2824545263694,346,372.413469
"Other method-related reasons","Injectables",3,39.0058349366521,9.7215415159971,51.2726235473508,346,372.413469
"Other method-related reasons","Injectables",6,41.9764316691079,15.6740485063138,42.3495198245783,346,372.413469
"Other method-related reasons","Injectables",12,45.8259240770092,24.9015056178642,29.2725703051266,346,372.413469
"Husband/partner disapproved","Injectables",1,0.410180549170937,24.2603011429805,75.3295183078486,28,33.787804
"Husband/partner disapproved","Injectables",3,1.04303316072273,25.615414366675,73.3415524726022,28,33.787804
"Husband/partner disapproved","Injectables",6,4.50957820245943,27.8784618211945,67.611959976346,28,33.787804
"Husband/partner disapproved","Injectables",12,19.4266546663497,39.9256565138772,40.6476888197731,28,33.787804
"Other reasons","Injectables",1,5.94073482490932,5.71202583755529,88.3472393375354,175,162.75224
"Other reasons","Injectables",3,35.3330067838083,8.19738087783001,56.4696123383617,175,162.75224
"Other reasons","Injectables",6,43.0441158647316,11.1342853535048,45.8215987817636,175,162.75224
"Other reasons","Injectables",12,51.2498248228135,15.3962680405449,33.3539071366416,175,162.75224
"Method failure","Implants",1,0,100,0,5,8.645971
"Method failure","Implants",3,0,100,0,5,8.645971
"Method failure","Implants",6,0,100,0,5,8.645971
"Method failure","Implants",12,0,100,0,5,8.645971
"Desire to become pregnant","Implants",1,0.964606326005645,15.3123114808028,83.7230821931916,579,562.615116
"Desire to become pregnant","Implants",3,6.37111676892805,33.9189222921625,59.7099609389094,579,562.615116
"Desire to become pregnant","Implants",6,7.13393730344182,49.5483794217368,43.3176832748214,579,562.615116
"Desire to become pregnant","Implants",12,8.38625937362773,66.289801818593,25.3239388077793,579,562.615116
"Other fertility-related reasons","Implants",1,1.73147148023007,0,98.2685285197699,49,40.4579
"Other fertility-related reasons","Implants",3,2.74974973985303,0.886049448933336,96.3642008112136,49,40.4579
"Other fertility-related reasons","Implants",6,12.7464153179649,0.886049448933336,86.3675352331018,49,40.4579
"Other fertility-related reasons","Implants",12,15.4569201914418,1.22352715417741,83.3195526543808,49,40.4579
"Changes in menstrual bleeding","Implants",1,9.78381889518339,0.95935719614929,89.2568239086673,58,49.7259
"Changes in menstrual bleeding","Implants",3,31.0086795814656,12.4975214123827,56.4937990061517,58,49.7259
"Changes in menstrual bleeding","Implants",6,49.2463153927599,13.264715168554,37.4889694386861,58,49.7259
"Changes in menstrual bleeding","Implants",12,50.5368904972117,17.9980909113811,31.4650185914072,58,49.7259
"Other side effects/health concerns","Implants",1,27.1312822643359,5.72119508663829,67.1475226490258,146,143.721965
"Other side effects/health concerns","Implants",3,42.8458934582477,9.38322753936742,47.7708790023849,146,143.721965
"Other side effects/health concerns","Implants",6,44.5739987347761,14.5750035485425,40.8509977166815,146,143.721965
"Other side effects/health concerns","Implants",12,50.6461221270742,18.3380913156352,31.0157865572906,146,143.721965
"Wanted more effective method","Implants",1,49.0818664634455,1.96904010490632,48.9490934316482,158,173.218158
"Wanted more effective method","Implants",3,66.3853578214358,6.73354233451668,26.8810998440475,158,173.218158
"Wanted more effective method","Implants",6,71.8926603784364,11.0757828869697,17.0315567345939,158,173.218158
"Wanted more effective method","Implants",12,75.7123882954585,12.0255788179362,12.2620328866053,158,173.218158
"Other method-related reasons","Implants",1,21.9375649411119,5.07351203946788,72.9889230194202,151,135.078146
"Other method-related reasons","Implants",3,28.8761233071706,9.97712835057715,61.1467483422522,151,135.078146
"Other method-related reasons","Implants",6,35.2514062861896,13.9731729171804,50.7754207966299,151,135.078146
"Other method-related reasons","Implants",12,40.2646220823381,32.2756807355262,27.4596971821356,151,135.078146
"Husband/partner disapproved","Implants",1,52.257374559863,0,47.742625440137,5,3.449494
"Husband/partner disapproved","Implants",3,52.257374559863,0,47.742625440137,5,3.449494
"Husband/partner disapproved","Implants",6,52.257374559863,0,47.742625440137,5,3.449494
"Husband/partner disapproved","Implants",12,52.257374559863,0,47.742625440137,5,3.449494
