"Method","Horizon","Reinitiated (%)","Pregnancy competing event (%)","No observed event (%)","Unweighted at risk","Weighted at risk"
"Injectables","1 month",20.8298583324827,4.84234826247837,74.327793405039,1589,1892.685388
"Injectables","3 months",34.5826675764456,7.10114020281114,58.3161922207432,1033,1202.739296
"Injectables","6 months",39.9290964489385,9.80497438908183,50.2659291619796,765,922.868955
"Injectables","9 months",42.9864550447375,12.1636879095662,44.8498570456963,610,755.823047
"Injectables","12 months",48.5403347832323,15.474355346397,35.9853098703707,493,603.358727
"Implants","1 month",27.1408452965779,3.19730824466638,69.6618464587557,623,600.858176
"Implants","3 months",40.493863896428,8.28690296460242,51.2192331389696,381,354.679519
"Implants","6 months",47.5713870685479,12.083568200813,40.345044730639,266,238.127579
"Implants","9 months",51.2073624134107,14.194152325785,34.5984852608043,210,192.039185
"Implants","12 months",52.4109588160916,17.5820066239268,30.0070345599817,166,161.016614
"Pill","1 month",30.3361799955821,1.97685147288725,67.6869685315307,395,433.857582
"Pill","3 months",42.4101105140995,2.2947062384172,55.2951832474833,213,264.463493
"Pill","6 months",54.5661802248064,3.22397225568535,42.2098475195083,148,199.430029
"Pill","9 months",56.381787190342,5.12175145663084,38.4964613530271,118,146.138864
"Pill","12 months",57.8046463153115,8.42923525167052,33.766118433018,99,112.663836
"Emergency contraception","1 month",7.42304152399734,2.89172170236157,89.6852367736411,113,146.216318
"Emergency contraception","3 months",12.9369349869691,4.61722541802756,82.4458395950033,100,125.393436
"Emergency contraception","6 months",25.4948952883121,4.61722541802756,69.8878792936604,83,98.59641
"Emergency contraception","9 months",31.9717308138208,4.61722541802756,63.4110437681516,67,88.1197
"Emergency contraception","12 months",39.0658135744938,4.61722541802756,56.3169610074787,59,69.940794
"Other","1 month",41.2222375997046,3.24297807300397,55.5347843272914,212,167.712759
"Other","3 months",50.9594508548989,4.57938742752422,44.4611617175769,111,80.707587
"Other","6 months",55.9520091136232,7.44603182461995,36.6019590617569,76,56.606208
"Other","9 months",59.7541848789154,12.82198677049,27.4238283505945,49,36.166187
"Other","12 months",60.5838086925505,14.3019514222705,25.114239885179,35,30.526025
"All methods","1 month",23.722548679052,3.9831018167753,72.2943495041727,2932,3241.330223
"All methods","3 months",36.5970943220369,6.43507059292922,56.9678350850338,1838,2027.983331
"All methods","6 months",43.4896502083031,8.99133374213954,47.5190160495574,1338,1515.629181
"All methods","9 months",46.6738269291489,11.2647031239217,42.0614699469294,1054,1218.286983
"All methods","12 months",50.7303764993807,14.338878001895,34.9307454987243,852,977.505996
