"Method","Horizon","Reinitiated (%)","Pregnancy competing event (%)","No observed event (%)","Unweighted at risk","Weighted at risk"
"Injectables","1 month",20.8298583324827,4.84234826247837,74.327793405039,1589,1892.685388
"Injectables","2 months",30.5772922784354,5.87599765418594,63.5467100673786,1215,1406.791285
"Injectables","3 months",34.5826675764456,7.10114020281114,58.3161922207432,1033,1202.739296
"Injectables","4 months",38.0936117259754,8.12860979333944,53.7777784806852,913,1073.108438
"Injectables","5 months",39.0902423106585,8.59580481912698,52.3139528702145,821,962.430815
"Injectables","6 months",39.9290964489385,9.80497438908183,50.2659291619796,765,922.868955
"Injectables","7 months",41.2509457443118,10.8073514174473,47.9417028382409,703,856.700349
"Injectables","8 months",41.7683527893186,11.5096688980478,46.7219783126337,651,797.023293
"Injectables","9 months",42.9864550447375,12.1636879095662,44.8498570456963,610,755.823047
"Injectables","10 months",44.9173497432486,13.3038573837643,41.7787928729871,571,707.160083
"Injectables","11 months",45.8628173847824,14.5788982297191,39.5582843854985,528,648.720215
"Injectables","12 months",48.5403347832323,15.474355346397,35.9853098703707,493,603.358727
"Implants","1 month",27.1408452965779,3.19730824466638,69.6618464587557,623,600.858176
"Implants","2 months",36.0769142633752,4.89426110430425,59.0288246323205,446,418.5689
"Implants","3 months",40.493863896428,8.28690296460242,51.2192331389696,381,354.679519
"Implants","4 months",45.1133116881026,9.24116058963445,45.645527722263,321,303.782615
"Implants","5 months",46.4516463647108,11.2698557027488,42.2784979325404,290,268.819101
"Implants","6 months",47.5713870685479,12.083568200813,40.345044730639,266,238.127579
"Implants","7 months",48.6739175661235,12.9351525687165,38.39092986516,244,223.627696
"Implants","8 months",50.4151007309828,13.3387648370317,36.2461344319854,224,208.380318
"Implants","9 months",51.2073624134107,14.194152325785,34.5984852608043,210,192.039185
"Implants","10 months",51.834220755881,15.5689480408532,32.5968312032659,195,180.709096
"Implants","11 months",51.9945307837902,16.235044074692,31.7704251415178,177,166.798308
"Implants","12 months",52.4109588160916,17.5820066239268,30.0070345599817,166,161.016614
"Pill","1 month",30.3361799955821,1.97685147288725,67.6869685315307,395,433.857582
"Pill","2 months",36.832830087547,2.21087826926579,60.9562916431872,252,293.665045
"Pill","3 months",42.4101105140995,2.2947062384172,55.2951832474833,213,264.463493
"Pill","4 months",46.5990292250362,2.2947062384172,51.1062645365466,176,229.646184
"Pill","5 months",48.2318932745725,2.2947062384172,49.4734004870103,160,210.53459
"Pill","6 months",54.5661802248064,3.22397225568535,42.2098475195083,148,199.430029
"Pill","7 months",54.7689202108598,4.85616955728631,40.3749102318539,132,169.37884
"Pill","8 months",54.7689202108598,5.12175145663084,40.1093283325094,123,160.186668
"Pill","9 months",56.381787190342,5.12175145663084,38.4964613530271,118,146.138864
"Pill","10 months",56.8102859999279,5.29097244833373,37.8987415517384,112,124.869122
"Pill","11 months",56.8102859999279,7.3183533390782,35.8713606609939,104,121.124914
"Pill","12 months",57.8046463153115,8.42923525167052,33.766118433018,99,112.663836
"Emergency contraception","1 month",7.42304152399734,2.89172170236157,89.6852367736411,113,146.216318
"Emergency contraception","2 months",11.3494261290316,2.89172170236157,85.7588521686068,105,131.134451
"Emergency contraception","3 months",12.9369349869691,4.61722541802756,82.4458395950033,100,125.393436
"Emergency contraception","4 months",17.9904897421682,4.61722541802756,77.3922848398042,94,118.763287
"Emergency contraception","5 months",24.7055459831896,4.61722541802756,70.6772285987828,91,111.483638
"Emergency contraception","6 months",25.4948952883121,4.61722541802756,69.8878792936604,83,98.59641
"Emergency contraception","7 months",27.9792957323391,4.61722541802756,67.4034788496334,78,95.964109
"Emergency contraception","8 months",29.8489420451602,4.61722541802756,65.5338325368123,74,91.99817
"Emergency contraception","9 months",31.9717308138208,4.61722541802756,63.4110437681516,67,88.1197
"Emergency contraception","10 months",38.6928232181231,4.61722541802756,56.6899513638493,64,84.336859
"Emergency contraception","11 months",38.6928232181231,4.61722541802756,56.6899513638493,60,70.02397
