"Cohort","Method","Month","Switched to different method (%)","Restarted same method (%)","Any-method reinitiation (%)","Pregnancy before reinitiation (%)","No observed event (%)","Weighted eligible episodes","Unweighted eligible episodes"
"DHS-style eligible discontinuations","Injectables",1,20.8298583324827,0,20.8298583324827,4.84234826247837,74.327793405039,1892.685388,1589
"DHS-style eligible discontinuations","Injectables",3,24.9011617561027,9.68150582034292,34.5826675764456,7.10114020281114,58.3161922207432,1892.685388,1589
"DHS-style eligible discontinuations","Injectables",6,26.5097500214343,13.4193464275042,39.9290964489385,9.80497438908183,50.2659291619796,1892.685388,1589
"DHS-style eligible discontinuations","Injectables",9,27.2302818530308,15.7561731917068,42.9864550447375,12.1636879095662,44.8498570456963,1892.685388,1589
"DHS-style eligible discontinuations","Injectables",12,28.1422907613942,20.3980440218381,48.5403347832323,15.474355346397,35.9853098703707,1892.685388,1589
"DHS-style eligible discontinuations","Implants",1,27.1408452965779,0,27.1408452965779,3.19730824466638,69.6618464587557,600.858176,623
"DHS-style eligible discontinuations","Implants",3,35.14282095747,5.35104293895803,40.493863896428,8.28690296460242,51.2192331389696,600.858176,623
"DHS-style eligible discontinuations","Implants",6,38.6437777880657,8.92760928048221,47.5713870685479,12.083568200813,40.345044730639,600.858176,623
"DHS-style eligible discontinuations","Implants",9,41.2012404436594,10.0061219697513,51.2073624134107,14.194152325785,34.5984852608043,600.858176,623
"DHS-style eligible discontinuations","Implants",12,42.2216439966228,10.1893148194688,52.4109588160916,17.5820066239268,30.0070345599817,600.858176,623
"DHS-style eligible discontinuations","Pill",1,30.3361799955821,0,30.3361799955821,1.97685147288725,67.6869685315307,433.857582,395
"DHS-style eligible discontinuations","Pill",3,35.4553647053701,6.95474580872946,42.4101105140995,2.2947062384172,55.2951832474833,433.857582,395
"DHS-style eligible discontinuations","Pill",6,42.0886001408406,12.4775800839658,54.5661802248064,3.22397225568535,42.2098475195083,433.857582,395
"DHS-style eligible discontinuations","Pill",9,43.8618678822212,12.5199193081208,56.381787190342,5.12175145663084,38.4964613530271,433.857582,395
"DHS-style eligible discontinuations","Pill",12,44.2383380606796,13.5663082546319,57.8046463153115,8.42923525167052,33.766118433018,433.857582,395
"DHS-style eligible discontinuations","Emergency contraception",1,7.42304152399734,0,7.42304152399734,2.89172170236157,89.6852367736411,146.216318,113
"DHS-style eligible discontinuations","Emergency contraception",3,8.83844647216462,4.09848851480448,12.9369349869691,4.61722541802756,82.4458395950033,146.216318,113
"DHS-style eligible discontinuations","Emergency contraception",6,12.3349545568287,13.1599407314834,25.4948952883121,4.61722541802756,69.8878792936604,146.216318,113
"DHS-style eligible discontinuations","Emergency contraception",9,13.8486894709516,18.1230413428692,31.9717308138208,4.61722541802756,63.4110437681516,146.216318,113
"DHS-style eligible discontinuations","Emergency contraception",12,17.745889097616,21.3199244768778,39.0658135744938,4.61722541802756,56.3169610074787,146.216318,113
"DHS-style eligible discontinuations","Other",1,41.2222375997046,0,41.2222375997046,3.24297807300397,55.5347843272914,167.712759,212
"DHS-style eligible discontinuations","Other",3,46.6121680104255,4.34728284447339,50.9594508548989,4.57938742752422,44.4611617175769,167.712759,212
"DHS-style eligible discontinuations","Other",6,50.7591372665188,5.19287184710433,55.9520091136232,7.44603182461995,36.6019590617569,167.712759,212
