"chart_type","country","admin_name","asset_path","mime_type","bytes","width","height","sha256"
"change","DRC","Bas-Uele","assets/profile-plots/change/DRC/DRC_BasUele_change.png","image/png",173488,3900,2280,"4dd583bba30fb70af80874150082a8808c387868774dab39e1a3d9b2ae59498f"
"change","DRC","Equateur","assets/profile-plots/change/DRC/DRC_Equateur_change.png","image/png",174450,3900,2280,"4c5086ba25cd1cc58a154f3c84c290c44408a085e2f09856cd5da0205fe84a8e"
"change","DRC","Haut-Katanga","assets/profile-plots/change/DRC/DRC_HautKatanga_change.png","image/png",160761,3900,2280,"5df91adbfc90e1b4288ad76c767c965fae3bcb15c0c9798cc2f6f08d72e12e0d"
"change","DRC","Haut-Lomami","assets/profile-plots/change/DRC/DRC_HautLomami_change.png","image/png",176674,3900,2280,"a0e42afa12a4945ca9cc9aa48c5b1b864c741c81d6a36103bf8866894bbf74fd"
"change","DRC","Haut-Uele","assets/profile-plots/change/DRC/DRC_HautUele_change.png","image/png",198219,3900,2280,"431822e412bfe674dfae024c64701cb630a984ae2177a1eacfe148bad34fd4ca"
"change","DRC","Ituri","assets/profile-plots/change/DRC/DRC_Ituri_change.png","image/png",175725,3900,2280,"e8fd423aa89b3e0fe73e13a59800398b9da47783d6d29927d94cfacfc81d77ae"
"change","DRC","Kasai","assets/profile-plots/change/DRC/DRC_Kasai_change.png","image/png",174062,3900,2280,"98abeb03ed3f2ed263c2419c4da0d80ec55d587353fc27c2689778daf7bcb0ae"
"change","DRC","Kasai-Central","assets/profile-plots/change/DRC/DRC_KasaiCentral_change.png","image/png",162931,3900,2280,"734e551bfe09ece221b74198f69ef95d52b8d50c43fd05e832a8a1a97921dae8"
"change","DRC","Kasai-Oriental","assets/profile-plots/change/DRC/DRC_KasaiOriental_change.png","image/png",166347,3900,2280,"b366bbe5fc6a52b50ba2ab89773b3f5e531e77eab7231a97bf27eb5b75bf3f34"
"change","DRC","Kinshasa","assets/profile-plots/change/DRC/DRC_Kinshasa_change.png","image/png",169838,3900,2280,"d67992e9387eedc0294b1ccd6eb9555db0441c58910e96863a54eb759fd71767"
"change","DRC","Kongo Central","assets/profile-plots/change/DRC/DRC_KongoCentral_change.png","image/png",170443,3900,2280,"105137f059f055c9ce11b17c3c49cee66cb0ea6309d36e62f9a775e671a88656"
"change","DRC","Kwango","assets/profile-plots/change/DRC/DRC_Kwango_change.png","image/png",177025,3900,2280,"a2d98bfa6ad44186bd776b3c75755cf7cad07f997d7f07309228e6ea700822e7"
"change","DRC","Kwilu","assets/profile-plots/change/DRC/DRC_Kwilu_change.png","image/png",164993,3900,2280,"0845d090d707f25e379c05f6ffb42c22197b18be83246ef5d43388b66b474687"
"change","DRC","Lomami","assets/profile-plots/change/DRC/DRC_Lomami_change.png","image/png",180490,3900,2280,"4e104d1c00deba7d0a5743d688ca918beef78106f17b01b1a52bbf0f1bb49ed6"
"change","DRC","Lualaba","assets/profile-plots/change/DRC/DRC_Lualaba_change.png","image/png",172408,3900,2280,"5d4be895bd6d6d2a0204bc2dbdbf0f398ed002003535eb36b46f84c010b2a369"
"change","DRC","Mai-Ndombe","assets/profile-plots/change/DRC/DRC_MaiNdombe_change.png","image/png",179337,3900,2280,"1933ce5166dd676493f8e392115962da2aa89b711e297394c61b9fea6d132c5c"
"change","DRC","Maniema","assets/profile-plots/change/DRC/DRC_Maniema_change.png","image/png",182343,3900,2280,"28cf087934511ee46aaaf47b5f232a2934a637535c5a2b261963ca409272a340"
"change","DRC","Mongala","assets/profile-plots/change/DRC/DRC_Mongala_change.png","image/png",175797,3900,2280,"63fd3ff8ae94a34fd61b3d7629998255bb84e1cd647083a04e4be0ce9e6cddeb"
"change","DRC","Nord-Kivu","assets/profile-plots/change/DRC/DRC_NordKivu_change.png","image/png",162405,3900,2280,"7ba5d88b9b9d378bc0024376d27e439d85968eeb3408d5e486fd9219e70aec36"
"change","DRC","Nord-Ubangi","assets/profile-plots/change/DRC/DRC_NordUbangi_change.png","image/png",182481,3900,2280,"ed46a1540f24c7b97278c315ff02c6d668eb08b8df3a82b433ef3cdfe93a2684"
"change","DRC","Sankuru","assets/profile-plots/change/DRC/DRC_Sankuru_change.png","image/png",174832,3900,2280,"9eac319d9b84cc14d1a2932eae75a95194b4a74f9c4fcc7ed05d9e5d71063789"
"change","DRC","Sud-Kivu","assets/profile-plots/change/DRC/DRC_SudKivu_change.png","image/png",178941,3900,2280,"c5ecb6ccad8280a0534f5808b6d7410f9d68cae06e420e564d889117cd187a3e"
"change","DRC","Sud-Ubangi","assets/profile-plots/change/DRC/DRC_SudUbangi_change.png","image/png",172443,3900,2280,"1a108ae55188562b9f9aeb7d420d10714753f0253b82b698d98a96a36332f70d"
"change","DRC","Tanganyika","assets/profile-plots/change/DRC/DRC_Tanganyika_change.png","image/png",189384,3900,2280,"48d717ff478fb69aa21ea77eb3e3ce1738ba94393f6086fcd8f6e800ba775638"
"change","DRC","Tshopo","assets/profile-plots/change/DRC/DRC_Tshopo_change.png","image/png",170228,3900,2280,"389b913d68c37c77543083e9c1319f574ffb03aeaff29d10c8613139672596cb"
"change","DRC","Tshuapa","assets/profile-plots/change/DRC/DRC_Tshuapa_change.png","image/png",169443,3900,2280,"459529d9ca193904e9029e3193048b100ec29f74dc0d26c697abfa43d88a3f81"
"change","Ethiopia","Addis Ababa","assets/profile-plots/change/Ethiopia/Ethiopia_AddisAbaba_change.png","image/png",168728,3900,2280,"0dcb6a548d1cf29e66a541d8df76334760b5e2c3061198ab6153385e6ab18a53"
"change","Ethiopia","Afar","assets/profile-plots/change/Ethiopia/Ethiopia_Afar_change.png","image/png",176453,3900,2280,"e95eaca3194dbd782828b237b332da75dd048e1d8884e76e4d24b11545aa18df"
"change","Ethiopia","Amhara","assets/profile-plots/change/Ethiopia/Ethiopia_Amhara_change.png","image/png",187301,3900,2280,"9d5eb397c4be7465ab4b07af44ee872177da81a17f313e02620ade3de434032b"
"change","Ethiopia","Benishangul","assets/profile-plots/change/Ethiopia/Ethiopia_Benishangul_change.png","image/png",190372,3900,2280,"acf5b519f154e18186947a3d54e69f1884b680fa1683983bcc22051947352bda"
