country,survey_year,survey_source,survey_id,population,indicator,admin_level,admin_name,admin_norm,estimate,se,ci_l,ci_u,unweighted_n,survey_order,survey_label
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Bas-Uele,bas uele,85.975525,4.520834,77.114853,94.836197,285,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Bas-Uele,bas uele,53.497572,7.845612,38.120455,68.874689,277,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Equateur,equateur,89.113832,2.960416,83.311523,94.91614,345,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Equateur,equateur,80.859216,4.497876,72.04354,89.674891,321,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Haut-Katanga,haut katanga,85.915643,2.71035,80.603454,91.227831,356,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Haut-Katanga,haut katanga,84.712821,3.10178,78.633444,90.792198,401,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Haut-Lomami,haut lomami,76.458249,6.158063,64.388667,88.527831,376,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Haut-Lomami,haut lomami,74.698618,3.257591,68.313857,81.083379,487,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Haut-Uele,haut uele,93.445855,1.642654,90.226313,96.665396,283,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Haut-Uele,haut uele,82.19245,4.162912,74.033291,90.351608,219,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Ituri,ituri,93.868584,1.391588,91.141122,96.596047,365,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Ituri,ituri,81.248667,4.568126,72.295304,90.202029,386,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Kasai,kasai,86.131734,3.319025,79.626564,92.636904,509,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Kasai,kasai,69.987873,3.014965,64.078649,75.897096,411,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Kasai Central,kasai central,90.89712,1.991704,86.993452,94.800788,465,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Kasai Central,kasai central,92.630632,2.205064,88.308787,96.952477,492,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Kasai Oriental,kasai oriental,85.26257,3.457495,78.486005,92.039135,411,1,2013 DHS
