country,survey_year,survey_source,survey_label,indicator,admin_name,estimate,ci_l,ci_u
DRC,2013,DHS,2013 DHS,anc4plus,Bas-Uele,39.572666,20.038018,59.107315
DRC,2013,DHS,2013 DHS,anc4plus,Equateur,65.346516,53.242376,77.450655
DRC,2013,DHS,2013 DHS,anc4plus,Haut-Katanga,47.46886,38.820519,56.117202
DRC,2013,DHS,2013 DHS,anc4plus,Haut-Lomami,41.79437,28.008749,55.579992
DRC,2013,DHS,2013 DHS,anc4plus,Haut-Uele,48.676925,42.096495,55.257355
DRC,2013,DHS,2013 DHS,anc4plus,Ituri,56.512938,46.132936,66.892941
DRC,2013,DHS,2013 DHS,anc4plus,Kasai,43.521968,37.938841,49.105094
DRC,2013,DHS,2013 DHS,anc4plus,Kasai Central,43.300453,33.386058,53.214847
DRC,2013,DHS,2013 DHS,anc4plus,Kasai Oriental,56.834348,50.006087,63.66261
DRC,2013,DHS,2013 DHS,anc4plus,Kinshasa,74.236269,69.975194,78.497344
DRC,2013,DHS,2013 DHS,anc4plus,Kongo Central,39.058061,29.950413,48.165709
DRC,2013,DHS,2013 DHS,anc4plus,Kwango,27.990395,20.611422,35.369368
DRC,2013,DHS,2013 DHS,anc4plus,Kwilu,51.024096,43.938367,58.109825
DRC,2013,DHS,2013 DHS,anc4plus,Lomami,38.853656,30.090825,47.616487
DRC,2013,DHS,2013 DHS,anc4plus,Lualaba,52.568414,44.953813,60.183016
DRC,2013,DHS,2013 DHS,anc4plus,Mai-Ndombe,61.381791,53.367387,69.396195
DRC,2013,DHS,2013 DHS,anc4plus,Maniema,39.338688,32.007926,46.669451
DRC,2013,DHS,2013 DHS,anc4plus,Mongala,47.278443,37.507365,57.049521
DRC,2013,DHS,2013 DHS,anc4plus,Nord Ubangi,42.813713,33.951387,51.676039
DRC,2013,DHS,2013 DHS,anc4plus,Nord-Kivu,56.771075,46.559283,66.982867
DRC,2013,DHS,2013 DHS,anc4plus,Sankuru,27.727223,11.2989,44.155546
DRC,2013,DHS,2013 DHS,anc4plus,Sud Ubangi,54.590128,41.480357,67.699899
DRC,2013,DHS,2013 DHS,anc4plus,Sud-Kivu,35.260602,27.544103,42.977101
DRC,2013,DHS,2013 DHS,anc4plus,Tanganyika,28.744074,17.918237,39.569911
DRC,2013,DHS,2013 DHS,anc4plus,Tshopo,49.277575,39.760798,58.794352
DRC,2013,DHS,2013 DHS,anc4plus,Tshuapa,35.818544,22.754102,48.882986
DRC,2024,DHS,2023–24 DHS,anc4plus,Bas-Uele,24.25363,12.631273,35.875987
DRC,2024,DHS,2023–24 DHS,anc4plus,Equateur,48.688968,35.984762,61.393173
DRC,2024,DHS,2023–24 DHS,anc4plus,Haut-Katanga,47.965755,37.782334,58.149176
DRC,2024,DHS,2023–24 DHS,anc4plus,Haut-Lomami,34.381983,28.052995,40.71097
DRC,2024,DHS,2023–24 DHS,anc4plus,Haut-Uele,30.473965,22.888267,38.059664
DRC,2024,DHS,2023–24 DHS,anc4plus,Ituri,39.702706,34.136825,45.268588
DRC,2024,DHS,2023–24 DHS,anc4plus,Kasai,26.604883,13.275159,39.934608
DRC,2024,DHS,2023–24 DHS,anc4plus,Kasai Central,43.295979,36.423865,50.168093
DRC,2024,DHS,2023–24 DHS,anc4plus,Kasai Oriental,34.698145,25.788889,43.607401
DRC,2024,DHS,2023–24 DHS,anc4plus,Kinshasa,69.19981,63.140688,75.258932
DRC,2024,DHS,2023–24 DHS,anc4plus,Kongo Central,46.591919,37.75377,55.430069
DRC,2024,DHS,2023–24 DHS,anc4plus,Kwango,28.543366,18.737989,38.348742
DRC,2024,DHS,2023–24 DHS,anc4plus,Kwilu,49.32902,38.649206,60.008835
DRC,2024,DHS,2023–24 DHS,anc4plus,Lomami,31.705168,24.00629,39.404045
DRC,2024,DHS,2023–24 DHS,anc4plus,Lualaba,56.845866,46.531231,67.160501
DRC,2024,DHS,2023–24 DHS,anc4plus,Mai-Ndombe,62.428795,49.770346,75.087243
DRC,2024,DHS,2023–24 DHS,anc4plus,Maniema,29.817499,23.91291,35.722089
DRC,2024,DHS,2023–24 DHS,anc4plus,Mongala,45.638067,37.37177,53.904364
DRC,2024,DHS,2023–24 DHS,anc4plus,Nord Ubangi,40.777702,26.438065,55.117339
DRC,2024,DHS,2023–24 DHS,anc4plus,Nord-Kivu,50.668947,42.464298,58.873597
DRC,2024,DHS,2023–24 DHS,anc4plus,Sankuru,14.184444,7.126292,21.242595
DRC,2024,DHS,2023–24 DHS,anc4plus,Sud Ubangi,39.788027,32.459123,47.116932
DRC,2024,DHS,2023–24 DHS,anc4plus,Sud-Kivu,61.335376,52.121669,70.549083
DRC,2024,DHS,2023–24 DHS,anc4plus,Tanganyika,25.468926,18.861004,32.076849
DRC,2024,DHS,2023–24 DHS,anc4plus,Tshopo,49.27738,36.699069,61.855692
DRC,2024,DHS,2023–24 DHS,anc4plus,Tshuapa,24.070656,15.998668,32.142643
DRC,2013,DHS,2013 DHS,anemia_women,Bas-Uele,48.85419643,43.41530801,54.29308484
DRC,2013,DHS,2013 DHS,anemia_women,Equateur,44.64411038,37.45201591,51.83620486
DRC,2013,DHS,2013 DHS,anemia_women,Haut-Katanga,41.7312191,36.17760936,47.28482884
DRC,2013,DHS,2013 DHS,anemia_women,Haut-Lomami,46.01571189,38.44110409,53.59031969
DRC,2013,DHS,2013 DHS,anemia_women,Haut-Uele,31.63129715,22.74481523,40.51777906
DRC,2013,DHS,2013 DHS,anemia_women,Ituri,30.59619121,22.89738052,38.2950019
DRC,2013,DHS,2013 DHS,anemia_women,Kasai,41.03163378,26.70159483,55.36167273
DRC,2013,DHS,2013 DHS,anemia_women,Kasai-Central,51.55285089,44.21126101,58.89444077
DRC,2013,DHS,2013 DHS,anemia_women,Kasai-Oriental,38.25099538,31.68444279,44.81754797
DRC,2013,DHS,2013 DHS,anemia_women,Kinshasa,46.67994828,43.58744183,49.77245472
DRC,2013,DHS,2013 DHS,anemia_women,Kongo Central,54.71769659,47.38904311,62.04635006
DRC,2013,DHS,2013 DHS,anemia_women,Kwango,28.20319784,22.4604177,33.94597797
DRC,2013,DHS,2013 DHS,anemia_women,Kwilu,35.20088221,28.87850652,41.5232579
DRC,2013,DHS,2013 DHS,anemia_women,Lomami,44.4710144,32.37989064,56.56213817
DRC,2013,DHS,2013 DHS,anemia_women,Lualaba,31.3097673,20.38898084,42.23055376
DRC,2013,DHS,2013 DHS,anemia_women,Mai-Ndombe,51.90657796,36.98617559,66.82698033
DRC,2013,DHS,2013 DHS,anemia_women,Maniema,49.51299106,43.87739783,55.14858429
DRC,2013,DHS,2013 DHS,anemia_women,Mongala,35.4805968,22.55675516,48.40443844
DRC,2013,DHS,2013 DHS,anemia_women,Nord-Kivu,20.68430468,16.80619444,24.56241492
DRC,2013,DHS,2013 DHS,anemia_women,Nord-Ubangi,27.01382202,20.64791953,33.37972452
DRC,2013,DHS,2013 DHS,anemia_women,Sankuru,37.99070554,25.41923925,50.56217183
