country,survey_year,survey_source,survey_id,population,indicator,admin_level,admin_name,admin_norm,estimate,se,ci_l,ci_u,unweighted_n,survey_order,survey_label
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_stunting,ADM1,Bas-Uele,bas uele,15.20134678,15.20134678,9.053689304,21.34900426,220,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_stunting,ADM1,Bas-Uele,bas uele,26.17499067,26.17499067,16.99602037,35.35396096,388,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_stunting,ADM1,Equateur,equateur,6.102604365,6.102604365,-0.184053853,12.38926258,265,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_stunting,ADM1,Equateur,equateur,17.86740384,17.86740384,13.26902049,22.46578718,432,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_stunting,ADM1,Haut-Katanga,haut katanga,21.06044205,21.06044205,13.95934361,28.16154049,295,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_stunting,ADM1,Haut-Katanga,haut katanga,20.37143111,20.37143111,16.05324887,24.68961336,522,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_stunting,ADM1,Haut-Lomami,haut lomami,29.00144773,29.00144773,24.38147911,33.62141634,296,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_stunting,ADM1,Haut-Lomami,haut lomami,24.57449665,24.57449665,20.30069284,28.84830046,559,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_stunting,ADM1,Haut-Uele,haut uele,24.36034826,24.36034826,17.21079882,31.5098977,226,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_stunting,ADM1,Haut-Uele,haut uele,22.19575929,22.19575929,13.45451181,30.93700678,286,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_stunting,ADM1,Ituri,ituri,26.31499884,26.31499884,17.65254627,34.97745142,278,1,2013 DHS
