country,admin_name,indicator,label,direction,latest_year,prev,se,ci_l,ci_u,prevalence_rank,n_units,rank_band,prov_avg,prov_min,prov_max,gap_worse,pos_worse
DRC,Kinshasa,anc4plus,ANC4+,beneficial,2024,69.19981,3.091446,63.140688,75.258932,1,26,Best fifth,40.6052685384615,14.184444,69.19981,-28.5945414615385,0
DRC,Mai-Ndombe,anc4plus,ANC4+,beneficial,2024,62.428795,6.458511,49.770346,75.087243,2,26,Best fifth,40.6052685384615,14.184444,69.19981,-21.8235264615385,0.123074978725035
DRC,Sud-Kivu,anc4plus,ANC4+,beneficial,2024,61.335376,4.700957,52.121669,70.549083,3,26,Best fifth,40.6052685384615,14.184444,69.19981,-20.7301074615385,0.142949771523832
DRC,Lualaba,anc4plus,ANC4+,beneficial,2024,56.845866,5.262666,46.531231,67.160501,4,26,Best fifth,40.6052685384615,14.184444,69.19981,-16.2405974615385,0.224554427212208
DRC,Nord-Kivu,anc4plus,ANC4+,beneficial,2024,50.668947,4.186123,42.464298,58.873597,5,26,Best fifth,40.6052685384615,14.184444,69.19981,-10.0636784615385,0.336830677451096
DRC,Kwilu,anc4plus,ANC4+,beneficial,2024,49.32902,5.448985,38.649206,60.008835,6,26,Best fifth,40.6052685384615,14.184444,69.19981,-8.72375146153846,0.361186182056846
DRC,Tshopo,anc4plus,ANC4+,beneficial,2024,49.27738,6.417624,36.699069,61.855692,7,26,Better half,40.6052685384615,14.184444,69.19981,-8.67211146153846,0.362124828906891
DRC,Equateur,anc4plus,ANC4+,beneficial,2024,48.688968,6.481857,35.984762,61.393173,8,26,Better half,40.6052685384615,14.184444,69.19981,-8.08369946153847,0.372820240803269
DRC,Haut-Katanga,anc4plus,ANC4+,beneficial,2024,47.965755,5.195718,37.782334,58.149176,9,26,Better half,40.6052685384615,14.184444,69.19981,-7.36048646153846,0.385965895419109
DRC,Kongo Central,anc4plus,ANC4+,beneficial,2024,46.591919,4.509343,37.75377,55.430069,10,26,Better half,40.6052685384615,14.184444,69.19981,-5.98665046153846,0.410937755099185
DRC,Mongala,anc4plus,ANC4+,beneficial,2024,45.638067,4.217576,37.37177,53.904364,11,26,Better half,40.6052685384615,14.184444,69.19981,-5.03279846153846,0.428275674836009
DRC,Kasai-Central,anc4plus,ANC4+,beneficial,2024,43.295979,3.506245,36.423865,50.168093,12,26,Better half,40.6052685384615,14.184444,69.19981,-2.69071046153847,0.470847199307917
DRC,Nord-Ubangi,anc4plus,ANC4+,beneficial,2024,40.777702,7.316276,26.438065,55.117339,13,26,Better half,40.6052685384615,14.184444,69.19981,-0.172433461538461,0.516621265411558
