country,population,indicator,direction,admin_level,admin_name,n_surveys,years_available,latest_year,baseline_target_year,baseline_year,baseline_year_gap,baseline_estimate,observed_latest_estimate,pp_change_10yr,recoded_baseline_estimate,recoded_observed_latest,pp_change_10yr_recoded,change_rank,prevalence_rank
DRC,,anc4plus,beneficial,ADM1,Sud-Kivu,2,2013;2024,2024,2014,2013,1,35.260602,61.335376,26.074774,64.739398,38.664624,-26.074774,1,3
DRC,,anc4plus,beneficial,ADM1,Kongo Central,2,2013;2024,2024,2014,2013,1,39.058061,46.591919,7.533858,60.941939,53.408081,-7.533858,2,10
DRC,,anc4plus,beneficial,ADM1,Lualaba,2,2013;2024,2024,2014,2013,1,52.568414,56.845866,4.277452,47.431586,43.154134,-4.277452,3,4
DRC,,anc4plus,beneficial,ADM1,Mai-Ndombe,2,2013;2024,2024,2014,2013,1,61.381791,62.428795,1.047004,38.618209,37.571205,-1.047004,4,2
DRC,,anc4plus,beneficial,ADM1,Kwango,2,2013;2024,2024,2014,2013,1,27.990395,28.543366,0.552971,72.009605,71.456634,-0.552971,5,21
DRC,,anc4plus,beneficial,ADM1,Haut-Katanga,2,2013;2024,2024,2014,2013,1,47.46886,47.965755,0.496895,52.53114,52.034245,-0.496895,6,9
DRC,,anc4plus,beneficial,ADM1,Tshopo,2,2013;2024,2024,2014,2013,1,49.277575,49.27738,-0.000195,50.722425,50.72262,0.000195,7,7
DRC,,anc4plus,beneficial,ADM1,Kasai-Central,2,2013;2024,2024,2014,2013,1,43.300453,43.295979,-0.004474,56.699547,56.704021,0.004474,8,12
DRC,,anc4plus,beneficial,ADM1,Mongala,2,2013;2024,2024,2014,2013,1,47.278443,45.638067,-1.640376,52.721557,54.361933,1.640376,9,11
DRC,,anc4plus,beneficial,ADM1,Kwilu,2,2013;2024,2024,2014,2013,1,51.024096,49.32902,-1.695076,48.975904,50.67098,1.695076,10,6
DRC,,anc4plus,beneficial,ADM1,Nord-Ubangi,2,2013;2024,2024,2014,2013,1,42.813713,40.777702,-2.036011,57.186287,59.222298,2.036011,11,13
DRC,,anc4plus,beneficial,ADM1,Tanganyika,2,2013;2024,2024,2014,2013,1,28.744074,25.468926,-3.275148,71.255926,74.531074,3.275148,12,23
DRC,,anc4plus,beneficial,ADM1,Kinshasa,2,2013;2024,2024,2014,2013,1,74.236269,69.19981,-5.036459,25.763731,30.80019,5.036459,13,1
DRC,,anc4plus,beneficial,ADM1,Nord-Kivu,2,2013;2024,2024,2014,2013,1,56.771075,50.668947,-6.102128,43.228925,49.331053,6.102128,14,5
DRC,,anc4plus,beneficial,ADM1,Lomami,2,2013;2024,2024,2014,2013,1,38.853656,31.705168,-7.148488,61.146344,68.294832,7.148488,15,18
DRC,,anc4plus,beneficial,ADM1,Haut-Lomami,2,2013;2024,2024,2014,2013,1,41.79437,34.381983,-7.412387,58.20563,65.618017,7.412387,16,17
DRC,,anc4plus,beneficial,ADM1,Maniema,2,2013;2024,2024,2014,2013,1,39.338688,29.817499,-9.521189,60.661312,70.182501,9.521189,17,20
DRC,,anc4plus,beneficial,ADM1,Tshuapa,2,2013;2024,2024,2014,2013,1,35.818544,24.070656,-11.747888,64.181456,75.929344,11.747888,18,25
DRC,,anc4plus,beneficial,ADM1,Sankuru,2,2013;2024,2024,2014,2013,1,27.727223,14.184444,-13.542779,72.272777,85.815556,13.542779,19,26
DRC,,anc4plus,beneficial,ADM1,Sud-Ubangi,2,2013;2024,2024,2014,2013,1,54.590128,39.788027,-14.802101,45.409872,60.211973,14.802101,20,14
DRC,,anc4plus,beneficial,ADM1,Bas-Uele,2,2013;2024,2024,2014,2013,1,39.572666,24.25363,-15.319036,60.427334,75.74637,15.319036,21,24
DRC,,anc4plus,beneficial,ADM1,Equateur,2,2013;2024,2024,2014,2013,1,65.346516,48.688968,-16.657548,34.653484,51.311032,16.657548,22,8
DRC,,anc4plus,beneficial,ADM1,Ituri,2,2013;2024,2024,2014,2013,1,56.512938,39.702706,-16.810232,43.487062,60.297294,16.810232,23,15
DRC,,anc4plus,beneficial,ADM1,Kasai,2,2013;2024,2024,2014,2013,1,43.521968,26.604883,-16.917085,56.478032,73.395117,16.917085,24,22
DRC,,anc4plus,beneficial,ADM1,Haut-Uele,2,2013;2024,2024,2014,2013,1,48.676925,30.473965,-18.20296,51.323075,69.526035,18.20296,25,19
DRC,,anc4plus,beneficial,ADM1,Kasai-Oriental,2,2013;2024,2024,2014,2013,1,56.834348,34.698145,-22.136203,43.165652,65.301855,22.136203,26,16
DRC,,anc_skilled_provider,beneficial,ADM1,Tanganyika,2,2013;2024,2024,2014,2013,1,50.664282,58.346524,7.682242,49.335718,41.653476,-7.682242,1,24
DRC,,anc_skilled_provider,beneficial,ADM1,Mongala,2,2013;2024,2024,2014,2013,1,77.411583,82.070772,4.659189,22.588417,17.929228,-4.659189,2,12
DRC,,anc_skilled_provider,beneficial,ADM1,Mai-Ndombe,2,2013;2024,2024,2014,2013,1,90.084847,92.962728,2.877881,9.915153,7.037272,-2.877881,3,4
DRC,,anc_skilled_provider,beneficial,ADM1,Nord-Ubangi,2,2013;2024,2024,2014,2013,1,86.882122,89.169379,2.287257,13.117878,10.830621,-2.287257,4,6
