"country","admin_level","indicator","indicator_label","direction","distribution_order_improving_to_worsening","absolute_change_distribution_rank","areas_in_country_indicator_distribution","admin_name","latest_year","observed_latest_estimate","prevalence_rank","change_rank","risk_aligned_change_pp","absolute_risk_aligned_change_pp","threshold_percentile","quantile_type","threshold_t_pp","improving_cutoff_pp","worsening_cutoff_pp","classification","classification_label","improving_count_contribution","non_significant_count_contribution","worsening_count_contribution","risk_alignment_note"
"DRC","ADM1","wasting","Wasting","adverse",1,26,26,"Maniema",2024,8.76312653,19,1,-13.90026056,13.90026056,0.25,7,1.227942764,-1.227942764,1.227942764,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",2,23,26,"Tanganyika",2024,5.372098747,9,2,-5.208407313,5.208407313,0.25,7,1.227942764,-1.227942764,1.227942764,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",3,22,26,"Ituri",2024,3.832645285,3,3,-4.650106364,4.650106364,0.25,7,1.227942764,-1.227942764,1.227942764,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",4,21,26,"Sud-Ubangi",2024,2.320354371,2,4,-4.015652344,4.015652344,0.25,7,1.227942764,-1.227942764,1.227942764,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",5,19,26,"Sankuru",2024,6.3361994,11,5,-3.292682777,3.292682777,0.25,7,1.227942764,-1.227942764,1.227942764,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",6,18,26,"Lualaba",2024,6.537129322,12,6,-3.088632483,3.088632483,0.25,7,1.227942764,-1.227942764,1.227942764,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",7,14,26,"Haut-Uele",2024,4.999207201,5,7,-2.55439412,2.55439412,0.25,7,1.227942764,-1.227942764,1.227942764,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",8,13,26,"Nord-Kivu",2024,2.266849853,1,8,-2.467282866,2.467282866,0.25,7,1.227942764,-1.227942764,1.227942764,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",9,12,26,"Kongo Central",2024,8.82370853,20,9,-2.28955746,2.28955746,0.25,7,1.227942764,-1.227942764,1.227942764,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",10,8,26,"Haut-Lomami",2024,8.39330609,16,10,-1.503313493,1.503313493,0.25,7,1.227942764,-1.227942764,1.227942764,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",11,7,26,"Tshuapa",2024,8.08918282,15,11,-1.136152521,1.136152521,0.25,7,1.227942764,-1.227942764,1.227942764,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",12,6,26,"Kasai-Central",2024,5.250054819,7,12,-0.883611815,0.883611815,0.25,7,1.227942764,-1.227942764,1.227942764,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",13,4,26,"Haut-Katanga",2024,5.320855323,8,13,-0.599899331,0.599899331,0.25,7,1.227942764,-1.227942764,1.227942764,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",14,2,26,"Sud-Kivu",2024,6.711761749,13,14,-0.457721923,0.457721923,0.25,7,1.227942764,-1.227942764,1.227942764,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",15,1,26,"Nord-Ubangi",2024,4.761222179,4,15,0.321141338,0.321141338,0.25,7,1.227942764,-1.227942764,1.227942764,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",16,3,26,"Mongala",2024,6.002141898,10,16,0.52591799,0.52591799,0.25,7,1.227942764,-1.227942764,1.227942764,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",17,5,26,"Kasai-Oriental",2024,8.527883032,18,17,0.600411407,0.600411407,0.25,7,1.227942764,-1.227942764,1.227942764,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",18,9,26,"Kinshasa",2024,5.054251357,6,18,1.523970766,1.523970766,0.25,7,1.227942764,-1.227942764,1.227942764,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",19,10,26,"Lomami",2024,8.39511332,17,19,1.913661129,1.913661129,0.25,7,1.227942764,-1.227942764,1.227942764,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",20,11,26,"Mai-Ndombe",2024,16.05166661,26,20,2.06701601,2.06701601,0.25,7,1.227942764,-1.227942764,1.227942764,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",21,15,26,"Tshopo",2024,8.954720928,21,21,2.681862402,2.681862402,0.25,7,1.227942764,-1.227942764,1.227942764,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",22,16,26,"Equateur",2024,7.356872998,14,22,2.829611497,2.829611497,0.25,7,1.227942764,-1.227942764,1.227942764,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",23,17,26,"Kwango",2024,14.6696228,25,23,3.07623519,3.07623519,0.25,7,1.227942764,-1.227942764,1.227942764,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",24,20,26,"Kwilu",2024,10.04908018,22,24,3.941587596,3.941587596,0.25,7,1.227942764,-1.227942764,1.227942764,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",25,24,26,"Kasai",2024,14.52925549,24,25,5.892340898,5.892340898,0.25,7,1.227942764,-1.227942764,1.227942764,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","wasting","Wasting","adverse",26,25,26,"Bas-Uele",2024,13.33877398,23,26,7.227786285,7.227786285,0.25,7,1.227942764,-1.227942764,1.227942764,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",1,25,26,"Kasai-Central",2024,37.70505018,8,1,-13.84780071,13.84780071,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",2,23,26,"Haut-Uele",2024,20.01550384,1,2,-11.61579331,11.61579331,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",3,20,26,"Lomami",2024,34.56479806,7,3,-9.90621634,9.90621634,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",4,19,26,"Tanganyika",2024,46.04104555,16,4,-9.28289793,9.28289793,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",5,12,26,"Mai-Ndombe",2024,47.23483535,19,5,-4.67174261,4.67174261,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",6,10,26,"Ituri",2024,26.65892704,3,6,-3.93726417,3.93726417,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",7,7,26,"Kasai",2024,39.43153683,10,7,-1.60009695,1.60009695,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",8,5,26,"Kwilu",2024,33.72567736,6,8,-1.47520485,1.47520485,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",9,3,26,"Kongo Central",2024,53.86678421,26,9,-0.85091238,0.85091238,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",10,2,26,"Nord-Kivu",2024,20.05860565,2,10,-0.62569903,0.62569903,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",11,1,26,"Kasai-Oriental",2024,38.29265923,9,11,0.04166385,0.04166385,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",12,4,26,"Maniema",2024,50.37001028,21,12,0.85701922,0.85701922,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",13,6,26,"Equateur",2024,46.13368683,17,13,1.48957645,1.48957645,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",14,8,26,"Bas-Uele",2024,52.19790521,24,14,3.34370878,3.34370878,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",15,9,26,"Nord-Ubangi",2024,30.64932186,4,15,3.63549984,3.63549984,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",16,11,26,"Haut-Lomami",2024,50.62036479,22,16,4.6046529,4.6046529,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",17,13,26,"Kinshasa",2024,51.37402788,23,17,4.6940796,4.6940796,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",18,14,26,"Sankuru",2024,43.22528283,13,18,5.23457729,5.23457729,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",19,15,26,"Haut-Katanga",2024,47.73422063,20,19,6.00300153,6.00300153,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",20,16,26,"Tshopo",2024,46.39290663,18,20,6.75125669,6.75125669,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",21,17,26,"Tshuapa",2024,52.73581191,25,21,7.899119,7.899119,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",22,18,26,"Mongala",2024,44.25433334,15,22,8.77373654,8.77373654,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",23,21,26,"Lualaba",2024,41.82974505,12,23,10.51997775,10.51997775,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","anemia_women","Anemia (women)","adverse",24,22,26,"Sud-Kivu",2024,33.47917132,5,24,10.77577218,10.77577218,0.25,7,2.0359999075,-2.0359999075,2.0359999075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
