composite_set,country,admin_level,admin_name,n_indicators_in_set,n_indicators_change,composite_change_score,composite_change_rank,n_indicators_prevalence,composite_prevalence_score,composite_prevalence_rank
severe,DRC,ADM1,Tanganyika,8,8,5.875,1,8,16.625,21
standard,DRC,ADM1,Tanganyika,8,8,4.125,1,8,16.75,21
severe,DRC,ADM1,Mai-Ndombe,8,8,8,2,8,7.75,3
standard,DRC,ADM1,Haut-Uele,8,8,9,2,8,8.5,4
severe,DRC,ADM1,Haut-Uele,8,8,8.875,3,8,8,4
standard,DRC,ADM1,Mai-Ndombe,8,8,9.125,3,8,10.625,6
severe,DRC,ADM1,Haut-Katanga,8,8,10.5,4,8,11.125,8
standard,DRC,ADM1,Kasai-Central,8,8,9.75,4,8,10.875,7
severe,DRC,ADM1,Kasai-Central,8,8,10.625,5,8,10.75,7
standard,DRC,ADM1,Lomami,8,8,10,5,8,13,13
severe,DRC,ADM1,Nord-Ubangi,8,8,11.125,6,8,12,10
standard,DRC,ADM1,Haut-Katanga,8,8,10.25,6,8,11.25,10
severe,DRC,ADM1,Haut-Lomami,8,8,11.375,7,8,16,20
standard,DRC,ADM1,Nord-Kivu,8,8,10.375,7,8,3.25,1
severe,DRC,ADM1,Nord-Kivu,8,8,11.5,8,8,5,1
standard,DRC,ADM1,Lualaba,8,8,10.625,8,8,12.875,12
severe,DRC,ADM1,Lualaba,8,8,11.625,9,8,15.25,18
standard,DRC,ADM1,Kongo Central,8,8,11.25,9,8,13.75,14
standard,DRC,ADM1,Nord-Ubangi,8,8,11.25,9,8,11.125,9
severe,DRC,ADM1,Mongala,8,8,12.5,10,8,14.5,15
severe,DRC,ADM1,Lomami,8,8,12.5,10,8,14.625,16
standard,DRC,ADM1,Haut-Lomami,8,8,11.375,11,8,16.5,20
severe,DRC,ADM1,Kasai-Oriental,8,8,12.875,12,8,13,12
standard,DRC,ADM1,Ituri,8,8,13.5,12,8,11,8
severe,DRC,ADM1,Kongo Central,8,8,13,13,8,13.125,13
standard,DRC,ADM1,Kasai-Oriental,8,8,14.125,13,8,14.5,15
severe,DRC,ADM1,Ituri,8,8,13.75,14,8,12.25,11
standard,DRC,ADM1,Kinshasa,8,8,14.625,14,8,7.125,2
severe,DRC,ADM1,Sud-Kivu,8,8,14,15,8,9.5,5
standard,DRC,ADM1,Mongala,8,8,14.875,15,8,16,19
standard,DRC,ADM1,Kwilu,8,8,14.875,15,8,9.75,5
severe,DRC,ADM1,Kinshasa,8,8,15,16,8,6.75,2
severe,DRC,ADM1,Kwango,8,8,15.5,17,8,14.75,17
standard,DRC,ADM1,Sud-Kivu,8,8,15,17,8,7.625,3
severe,DRC,ADM1,Sud-Ubangi,8,8,15.875,18,8,13.875,14
severe,DRC,ADM1,Kasai,8,8,15.875,18,8,15.875,19
standard,DRC,ADM1,Bas-Uele,8,8,15.625,18,8,23,26
standard,DRC,ADM1,Kasai,8,8,16.625,19,8,15.5,18
severe,DRC,ADM1,Kwilu,8,8,16,20,8,10.5,6
severe,DRC,ADM1,Sankuru,8,8,16,20,8,18.75,24
standard,DRC,ADM1,Sankuru,8,8,17.125,20,8,18.375,23
standard,DRC,ADM1,Sud-Ubangi,8,8,17.25,21,8,14.75,17
severe,DRC,ADM1,Bas-Uele,8,8,16.375,22,8,22.125,26
standard,DRC,ADM1,Maniema,8,8,17.375,22,8,19.75,24
standard,DRC,ADM1,Equateur,8,8,17.375,22,8,12.625,11
severe,DRC,ADM1,Maniema,8,8,16.5,23,8,18.375,23
severe,DRC,ADM1,Equateur,8,8,17.25,24,8,11.75,9
standard,DRC,ADM1,Kwango,8,8,17.625,24,8,14.625,16
severe,DRC,ADM1,Tshuapa,8,8,18.25,25,8,20.625,25
standard,DRC,ADM1,Tshuapa,8,8,18.25,25,8,20.875,25
severe,DRC,ADM1,Tshopo,8,8,20.25,26,8,18.125,22
standard,DRC,ADM1,Tshopo,8,8,19.625,26,8,17,22
severe,Ethiopia,ADM1,Amhara,8,7,2.714285714,1,7,4.285714286,2
standard,Ethiopia,ADM1,Amhara,8,7,2.571428571,1,7,4.714285714,2
severe,Ethiopia,ADM1,Benishangul,8,7,4.714285714,2,7,4.857142857,3
standard,Ethiopia,ADM1,Benishangul,8,7,4.142857143,2,7,5.142857143,4
severe,Ethiopia,ADM1,Oromia,8,7,5.142857143,3,7,7.285714286,9
standard,Ethiopia,ADM1,Oromia,8,7,5,3,7,7.142857143,9
severe,Ethiopia,ADM1,Afar,8,7,5.285714286,4,7,9.857142857,10
standard,Ethiopia,ADM1,SNNPR,8,7,5.285714286,4,7,5.571428571,7
severe,Ethiopia,ADM1,SNNPR,8,7,5.714285714,5,7,5.857142857,7
standard,Ethiopia,ADM1,Afar,8,7,5.857142857,5,7,9.714285714,10
severe,Ethiopia,ADM1,Gambela,8,7,6,6,7,6.285714286,8
standard,Ethiopia,ADM1,Gambela,8,7,6.142857143,6,7,6.714285714,8
severe,Ethiopia,ADM1,Harari,8,7,6.285714286,7,7,5,5
standard,Ethiopia,ADM1,Harari,8,7,6.285714286,7,7,5.142857143,4
standard,Ethiopia,ADM1,Tigray,8,7,6.285714286,7,7,5.285714286,6
severe,Ethiopia,ADM1,Dire Dawa,8,7,6.571428571,8,7,4.857142857,3
severe,Ethiopia,ADM1,Tigray,8,7,7,9,7,5.571428571,6
standard,Ethiopia,ADM1,Addis Ababa,8,7,7.857142857,9,7,1.428571429,1
severe,Ethiopia,ADM1,Addis Ababa,8,7,7.714285714,10,7,2,1
standard,Ethiopia,ADM1,Dire Dawa,8,7,8.142857143,10,7,5,3
severe,Ethiopia,ADM1,Somali,8,7,8.857142857,11,7,10.14285714,11
standard,Ethiopia,ADM1,Somali,8,7,8.428571429,11,7,10.14285714,11
severe,Nigeria,ADM1,Borno,8,8,7.5,1,8,20.375,22
standard,Nigeria,ADM1,Borno,8,8,7.625,1,8,18.25,16
severe,Nigeria,ADM1,Delta,8,8,9.625,2,8,17,16
standard,Nigeria,ADM1,Delta,8,8,11.375,2,8,14.875,11
severe,Nigeria,ADM1,Kano,8,8,13.75,3,8,27.25,29
severe,Nigeria,ADM1,Ogun,8,8,13.75,3,8,10,5
standard,Nigeria,ADM1,Katsina,8,8,11.5,3,8,29.25,35
standard,Nigeria,ADM1,Yobe,8,8,12.375,4,8,26.625,30
standard,Nigeria,ADM1,Benue,8,8,12.375,4,8,18,15
severe,Nigeria,ADM1,Sokoto,8,8,13.875,5,8,30.625,36
severe,Nigeria,ADM1,Katsina,8,8,14,6,8,30.125,33
standard,Nigeria,ADM1,Sokoto,8,8,13.375,6,8,29.5,36
severe,Nigeria,ADM1,Yobe,8,8,14.5,7,8,28,30
standard,Nigeria,ADM1,Cross River,8,8,16,7,8,11.5,5
severe,Nigeria,ADM1,Jigawa,8,8,14.75,8,8,29.75,32
standard,Nigeria,ADM1,Kano,8,8,16.25,8,8,26.75,32
standard,Nigeria,ADM1,Bauchi,8,8,16.25,8,8,27,33
severe,Nigeria,ADM1,Benue,8,8,15.25,9,8,17.375,17
severe,Nigeria,ADM1,Cross River,8,8,15.375,10,8,10.25,6
standard,Nigeria,ADM1,Zamfara,8,8,16.375,10,8,26.625,30
severe,Nigeria,ADM1,Bayelsa,8,8,16.5,11,8,14.125,11
standard,Nigeria,ADM1,Jigawa,8,8,16.625,11,8,29,34
severe,Nigeria,ADM1,Abia,8,8,16.75,12,8,13.125,9
standard,Nigeria,ADM1,Nasarawa,8,8,16.875,12,8,15.625,12
severe,Nigeria,ADM1,Zamfara,8,8,17,13,8,30.125,33
standard,Nigeria,ADM1,FCT Abuja,8,8,17.25,13,8,10.75,3
severe,Nigeria,ADM1,Nasarawa,8,8,17.125,14,8,17.375,17
standard,Nigeria,ADM1,Gombe,8,8,17.5,14,8,21.125,25
severe,Nigeria,ADM1,Anambra,8,8,17.25,15,8,8,4
standard,Nigeria,ADM1,Anambra,8,8,17.625,15,8,11.5,5
severe,Nigeria,ADM1,Ebonyi,8,8,18.625,16,8,15.75,13
